text_clean,airline_sentiment,negativereason,airline,topic
really aggressive blast obnoxious entertainment guest face amp little recourse,negative,Bad Flight,Virgin America,-1
really big bad thing,negative,Can't Tell,Virgin America,-1
seriously would pay flight seat didnt playing really bad thing flying,negative,Can't Tell,Virgin America,-1
sfopdx schedule still mia,negative,Late Flight,Virgin America,-1
flew nyc sfo last week couldnt fully sit seat due two large gentleman either side help,negative,Bad Flight,Virgin America,4
first fare may three time carrier seat available select,negative,Can't Tell,Virgin America,4
guy messed seating reserved seating friend guy gave seat away want free internet,negative,Customer Service Issue,Virgin America,4
status match program applied three week called emailed response,negative,Customer Service Issue,Virgin America,10
happened vegan food option least say site know wont able eat anything next hr fail,negative,Can't Tell,Virgin America,9
amazing cant get cold air vent noair worstflightever roasted sfotobos,negative,Bad Flight,Virgin America,5
bked cool birthday trip cant add elevate cause entered middle name flight booking problem,negative,Flight Booking Problems,Virgin America,25
help left expensive headphone flight iad lax today seat one answering lampf number lax,negative,Customer Service Issue,Virgin America,3
awaiting return phone call would prefer use online selfservice option,negative,Customer Service Issue,Virgin America,-1
chat support not working site,negative,Customer Service Issue,Virgin America,-1
hey first time flyer next week excited hard time getting flight added elevate account help,negative,Flight Booking Problems,Virgin America,83
excited lgagtdal deal ive trying book since last week amp page never load thx,negative,Flight Booking Problems,Virgin America,3
called week ago adding flight elevatethey still havent shown uphelp,negative,Customer Service Issue,Virgin America,83
heyyyy guyyyys trying get hour someone call please,negative,Customer Service Issue,Virgin America,-1
virgin hold minute earlier flight nyc tonight earlier,negative,Late Flight,Virgin America,-1
everything fine lost bag,negative,Lost Luggage,Virgin America,0
airline awesome lax loft need step game dirty table floor,negative,Flight Attendant Complaints,Virgin America,-1
going customer service anyway speak human asap thank,negative,Customer Service Issue,Virgin America,-1
cant supp biz traveler like customer service like neverflyvirginforbusiness,negative,Customer Service Issue,Virgin America,1
youre best whenever begrudgingly use airline delayed late flight,negative,Late Flight,Virgin America,6
interesting flying cancelled flight next four flight plannedneverflyvirginforbusiness,negative,Can't Tell,Virgin America,1
disappointing experience shared every business traveler meet neverflyvirgin,negative,Can't Tell,Virgin America,1
trouble adding flight wife booked elevate account help,negative,Flight Booking Problems,Virgin America,25
like interesting video disappointed cancelled flightled flight flight went jfk saturday,negative,Cancelled Flight,Virgin America,15
landed lax hour late flight bag check not business travel friendly nomorevirgin,negative,Late Flight,Virgin America,0
website btw new website isnt great user experience time another redesign,negative,Customer Service Issue,Virgin America,-1
cant check add bag website isnt working ive tried desktop mobile,negative,Customer Service Issue,Virgin America,0
let scanned passenger leave plane told someone remove bag class bin uncomfortable,negative,Can't Tell,Virgin America,0
phone number cant find call flight reservation,negative,Flight Booking Problems,Virgin America,8
anyone anything today website useless one answering phone,negative,Customer Service Issue,Virgin America,40
must traveler miss flight late flight check bag missed morning appointment lost business sfolax,negative,Late Flight,Virgin America,0
hows direct flight fllgtsfo unexpected layover vega fuel yet peep next bought vega flight sneaky,negative,Late Flight,Virgin America,-1
late flight bag check lost business missed flight apt three people flight exp,negative,Late Flight,Virgin America,0
called service line hung awesome sarcasm,negative,Customer Service Issue,Virgin America,-1
site tripping trying check getting plain text version reluctant enter card info,negative,Flight Booking Problems,Virgin America,-1
concerned fly plane need delayed due tech stop,negative,Late Flight,Virgin America,6
use another browser amp brand reputation built tech response doesnt crossbrowser compatible website,negative,Customer Service Issue,Virgin America,3
flight flight booking problem site totally folk problem,negative,Flight Booking Problems,Virgin America,25
like customer service min delay connecting passenger seems long,negative,Customer Service Issue,Virgin America,-1
need change flight thats scheduled hour min wait time phone calling intern help,negative,Customer Service Issue,Virgin America,34
failing customer check process not link tsa precheck,negative,Customer Service Issue,Virgin America,71
terrible airline gave hotel hotline number said sorry,negative,Can't Tell,Virgin America,24
assistance yesterday cancelled flightled flight give hotel hotline shame,negative,Cancelled Flight,Virgin America,1
another delayed flight likingyoulessandless,negative,Late Flight,Virgin America,6
need register service dog first class ticket sfo dulles phone queue hour longer pls advise,negative,Customer Service Issue,Virgin America,-1
cant book seat flight buy even check creates much anxiety frustrated,negative,Flight Booking Problems,Virgin America,4
youd think paying extra buck luggage might afford hiring extra hand lame,negative,Flight Attendant Complaints,Virgin America,0
please provide status flight cant imagine time web indicates dude weather andor dallas,negative,Late Flight,Virgin America,27
paid premium fly across country cancelled flight flight offer check fee upgrade love sad face,negative,Cancelled Flight,Virgin America,-1
question not possible book seat infant not giving option want seat,negative,Flight Booking Problems,Virgin America,4
dont understand need give answer damaged luggage policy,negative,Damaged Luggage,Virgin America,0
mean dont policy destroyed luggage,negative,Damaged Luggage,Virgin America,0
problem flight booking problem web site keep giving error contact phone phone minute wait,negative,Customer Service Issue,Virgin America,-1
reschedule cancelled flightled flight online change button greyed,negative,Cancelled Flight,Virgin America,1
rang wait minute book ticket vendor fix site,negative,Flight Booking Problems,Virgin America,-1
got flight told todaychecked email tomorrow unacceptable,negative,Late Flight,Virgin America,23
flight lga cancelled flighted stuck dallas called reschedule told could get flight today,negative,Cancelled Flight,Virgin America,27
